X,Y,Z,item,pagerank,chosen
0.21330336,2.7184036,2.7184036,predictive analytics,0.002905038889019321,0.0
14.892402,3.8817575,3.8817575,constructivist epistemology,0.00012275416969053903,0.0
7.507207,10.292967,10.292967,knowledge representation,0.0002962814383078213,0.0
-12.484118,9.738264,9.738264,eye care professional,0.000521848670746576,0.0
13.551974,4.0856357,4.0856357,origin of language,0.0006140931344867591,0.0
-7.0649557,14.679614,14.679614,eye,0.00012275416969053903,0.0
-1.8047357,-7.8892,-7.8892,newton's method,0.00223920591999276,0.0
15.1774845,6.2001486,6.2001486,mirror neuron,0.0005314583003594997,0.0
10.080643,-0.24317065,-0.24317065,embodied cognitive science,0.00023523353640471606,0.0
-5.3752546,-3.2005496,-3.2005496,deep learning,0.000642840641974235,1.0
15.380378,-4.904684,-4.904684,society of mind,0.0021265330359632934,0.0
7.855293,1.176519,1.176519,biological psychology,0.00012275416969053903,0.0
18.005348,-2.9644482,-2.9644482,philosophical realism,0.00020658209143425982,0.0
-2.19558,3.750679,3.750679,strobe light,0.00012275416969053903,0.0
-10.216325,9.555225,9.555225,orthoptics,0.00012275416969053903,0.0
-4.5089335,6.4814844,6.4814844,auditory illusion,0.0003671325829880991,0.0
5.232817,-6.407461,-6.407461,binding problem,0.003445256494730942,0.0
-10.179735,-5.7757416,-5.7757416,computational electromagnetics,0.003941468157125931,0.0
-3.2277446,-14.448168,-14.448168,diary,0.0008703039589105398,0.0
-5.7311726,5.2103424,5.2103424,vision science,0.001565253776662287,0.0
8.09684,2.3103118,2.3103118,behavioral neuroscience,0.0009935652399235663,0.0
-6.8060856,4.656679,4.656679,blue–green distinction in language,0.0011652675461210043,0.0
-0.96247596,-7.6986423,-7.6986423,biological motion,0.0003650550140335338,0.0
-2.2029262,11.7312355,11.7312355,infrasound,0.002745258262583393,0.0
0.3163345,-0.536002,-0.536002,cognitive computing,0.0004734280868296411,0.0
4.825859,-9.817295,-9.817295,neuroplasticity,0.00043293510711258656,0.0
-12.51951,12.677921,12.677921,ophthalmology,0.00020061625735254892,0.0
3.5136561,2.195871,2.195871,decision tree,0.0007049235480029643,0.0
-10.3375,-2.0050106,-2.0050106,acoustic location,0.0007121955681499593,0.0
8.773286,-12.251402,-12.251402,quantum mind,0.000739336006384185,0.0
-7.2657666,-6.296532,-6.296532,opencv,0.0019208172525711678,0.0
2.0686285,-5.270806,-5.270806,sparse distributed memory,0.00038336690170273527,0.0
7.240318,-2.1136708,-2.1136708,neuropsychology,0.001462914076871813,0.0
14.647587,2.0124166,2.0124166,cetacean intelligence,0.00248084133835741,0.0
3.64713,-3.172817,-3.172817,connectionism,0.00040264130724061763,0.0
4.317874,-0.9512677,-0.9512677,cognitive biology,0.0007551923236631645,0.0
-8.136607,10.605501,10.605501,accommodation (vertebrate eye),0.00019811361904462804,0.0
19.078995,-1.7367449,-1.7367449,conceptualist realism,0.0004836072203927358,0.0
18.627224,1.7170886,1.7170886,model-dependent realism,0.000694141443115247,0.0
14.880284,-5.918794,-5.918794,society of mind theory,0.00169876019085179,0.0
-17.850355,3.4982717,3.4982717,eye movement (sensory),0.0006230265489499303,0.0
2.886157,1.0333732,1.0333732,surrogate model,0.0001294134902304922,0.0
9.471955,2.488847,2.488847,common coding theory,0.0032263142692313938,0.0
-9.281542,0.13548145,0.13548145,computer vision,0.0013806882420875394,1.0
0.043019585,0.22785075,0.22785075,response surface methodology,0.0009987847852744294,0.0
11.034948,2.1911345,2.1911345,speech–language pathology,0.0006922858359702407,0.0
14.296943,-1.4086827,-1.4086827,neural darwinism,0.0023615372246058933,0.0
-13.161358,-0.3334365,-0.3334365,smart camera,0.0002303281794901909,0.0
-0.87463444,-14.840261,-14.840261,quantified self,0.0016220164187992715,0.0
-4.886505,-6.516818,-6.516818,finite difference methods,0.0014737620000892374,0.0
-15.428164,-2.2810788,-2.2810788,videography,0.00030329113642536495,0.0
7.2467394,-5.382033,-5.382033,neurocognitive,0.00026448245220146217,0.0
5.5684505,-0.6229929,-0.6229929,computer experiment,0.0013800274533811105,0.0
-3.9674706,-12.158864,-12.158864,lifelogging,0.0006169656105216126,0.0
-3.166138,-11.056861,-11.056861,lifelog,0.0007321811184180164,0.0
-14.179109,2.261021,2.261021,vision processing unit,0.0007979860815723771,0.0
-15.4550295,5.3323035,5.3323035,peripheral vision,0.0026275876666006616,0.0
18.082607,6.460824,6.460824,ontological pluralism,0.0008059803984571741,0.0
0.28155774,6.7427444,6.7427444,rgb color model,0.0014411634205792772,0.0
-0.734378,-9.859534,-9.859534,motion (physics),0.0008847409117428074,0.0
-5.080544,4.4172397,4.4172397,persistence of vision,0.002210048647015841,0.0
9.456185,-3.9708853,-3.9708853,heterophenomenology,0.0008685050823767863,0.0
12.36737,0.33533096,0.33533096,relational frame theory,0.0001339041686371739,0.0
-2.1617804,1.124207,1.124207,support vector machine,0.0001339041686371739,0.0
-18.45885,5.1588497,5.1588497,eye movement,0.00022634337576497127,0.0
5.8575764,4.001085,4.001085,ooda loop,0.00012611881999596646,0.0
-6.4091444,-5.767077,-5.767077,finite difference method,0.00042861197911549405,0.0
8.860955,11.063483,11.063483,psyche (psychology),0.0016606969778821317,0.0
6.918276,11.443617,11.443617,fregoli delusion,0.0020587442225281647,0.0
-6.5045586,1.2289692,1.2289692,visual agnosia,0.004482967052998844,0.0
-7.232945,-9.292048,-9.292048,wearable technology,0.0008665575789558154,0.0
-0.4077925,-5.5063233,-5.5063233,spatial contextual awareness,0.0022812061504358205,0.0
1.832125,12.034855,12.034855,tetrachromacy,0.0006280882501706721,0.0
0.11590995,-2.7620277,-2.7620277,artificial intelligence,0.0013625404009174561,0.0
0.98060364,4.1098194,4.1098194,kriging,0.0007368149848583058,0.0
5.629164,3.5744054,3.5744054,human cognome project,0.00012611881999596646,0.0
-6.4447412,17.45526,17.45526,lens (vertebrate anatomy),0.0021766031759659858,0.0
-5.220213,-2.5268006,-2.5268006,finite volume method,0.00045564756285535054,0.0
2.054247,-5.323829,-5.323829,cognitive robotics,0.0018195743353660596,0.0
-14.307078,9.563864,9.563864,optometry,0.0011059763819657744,0.0
-7.2104607,-9.675951,-9.675951,dynamic-link library,0.0007690816344415866,0.0
18.276442,0.6268898,0.6268898,scientific realism,0.00187715728683433,0.0
-4.7494617,-5.266256,-5.266256,finite differences,0.0032526779193827898,0.0
-9.622905,-2.3983805,-2.3983805,applied element method,0.0005560540866961591,0.0
-4.6888433,-8.282687,-8.282687,sousveillance,0.0035480317320160976,0.0
5.343932,-5.7365723,-5.7365723,memory-prediction framework,0.0010205821063602714,0.0
-9.607538,0.39373592,0.39373592,feature detection (computer vision),0.00012611881999596646,0.0
1.6375636,4.6451793,4.6451793,watercolour illusion,0.00014309312126415633,0.0
3.2953913,5.6899304,5.6899304,psychophysics,0.00014309312126415633,0.0
2.4064076,13.65834,13.65834,alexithymia,0.00014309312126415633,0.0
1.9168968,-16.407854,-16.407854,human–computer interaction,0.00014309312126415633,0.0
17.259071,4.217778,4.217778,fallibilism,0.0002719061463897174,0.0
7.650323,-2.1765985,-2.1765985,ecological psychology,0.000306893649217195,0.0
13.361497,-3.3700485,-3.3700485,psychological adaptation,0.00015428806105512153,0.0
-13.019957,7.580193,7.580193,eye examination,0.0005270346271005037,0.0
-10.90974,5.371069,5.371069,structure tensor,0.00017909176904125118,0.0
9.976292,1.6495807,1.6495807,motor cognition,0.0001605925815895861,0.0
-1.5334997,-13.459963,-13.459963,ehealth,0.0002768686641896532,0.0
-8.354951,-6.365681,-6.365681,component object model,0.00027575670786920823,0.0
11.638321,-6.5707183,-6.5707183,mental body,0.00033706937484029054,0.0
6.338862,-9.8492565,-9.8492565,aging brain,0.0001164579818510228,0.0
0.6077101,1.1064993,1.1064993,bayesian optimization,0.00027591457797625045,0.0
-8.984471,0.35834697,0.35834697,meshfree methods,0.0013667073063979322,0.0
-9.541032,5.0472364,5.0472364,generalized structure tensor,0.0007329836738219714,0.0
10.261861,6.5316324,6.5316324,aphasia,0.0020376008313459323,0.0
-18.242306,5.657394,5.657394,foveated imaging,0.0017672678410584825,0.0
-5.790387,2.1725028,2.1725028,blindsight,0.0001164579818510228,0.0
-8.335761,1.4889292,1.4889292,chessboard detection,0.0002804344278900226,0.0
-0.7175329,10.147934,10.147934,color temperature,0.00018346710697233348,0.0
-4.8860707,-7.9031754,-7.9031754,head-mounted display,0.0002892786765587612,0.0
7.2442117,-3.4424226,-3.4424226,phenomenology (psychology),0.001049445212609365,0.0
-12.605536,-6.028153,-6.028153,computational physics,0.00018346710697233348,0.0
12.724562,1.4131479,1.4131479,genetic epistemology,0.0015321286626566806,0.0
-1.8612925,-4.4600577,-4.4600577,linear approximation,0.00039244165689331285,0.0
13.220058,-4.451855,-4.451855,type physicalism,0.00018346710697233348,0.0
-11.619963,9.303088,9.303088,computer vision syndrome,0.0001164579818510228,0.0
-0.19975543,11.878174,11.878174,trichromacy,0.0019219438969618023,0.0
-6.6990128,0.45684955,0.45684955,feature extraction,0.0003229830133609797,0.0
8.133398,-0.94549173,-0.94549173,mental event,0.00018346710697233348,0.0
-13.973272,2.8764188,2.8764188,vision disorder,0.00025445952982661814,0.0
-12.265184,7.9459977,7.9459977,asthenopia,0.0001164579818510228,0.0
-5.9899015,12.12728,12.12728,adaptation (eye),0.00035350906223336636,0.0
-11.168072,2.5580919,2.5580919,edge detection,0.0001164579818510228,0.0
4.788597,0.40222675,0.40222675,neuroscience,0.00018346710697233348,0.0
-12.773319,4.9140205,4.9140205,optical flow,0.0009803090675517964,0.0
-1.7576158,2.4679778,2.4679778,visual modularity,0.00018346710697233348,0.0
-9.426048,-3.6367583,-3.6367583,finite difference time-domain method,0.0003366565204253774,0.0
-9.335066,2.7568455,2.7568455,corner detection,0.0006918428508361854,0.0
-6.1539297,8.820989,8.820989,depth perception,0.00027292547355877735,0.0
9.255789,-0.97306657,-0.97306657,psychiatric genetics,0.0001164579818510228,0.0
10.899532,8.847653,8.847653,text and conversation theory,0.00031949491161847946,0.0
5.526355,-10.544967,-10.544967,neurological disorder,0.0001356615170151306,0.0
-7.6913714,-14.15902,-14.15902,software repository,0.0001356615170151306,0.0
13.06097,-5.4202814,-5.4202814,cognitive module,0.0001356615170151306,0.0
9.544056,13.7016,13.7016,amygdala,0.00038625480445073686,0.0
11.949587,-11.992147,-11.992147,cortical area,0.0002189139765088555,0.0
-6.163679,-4.585335,-4.585335,opennn,0.0002189139765088555,0.0
-0.79844326,3.4797063,3.4797063,gaussian process,0.0001356615170151306,0.0
-7.898572,1.3725822,1.3725822,canny edge detector,0.00014943881786621418,0.0
-8.476396,3.9885948,3.9885948,scale space,0.00014943881786621418,0.0
6.4696684,-2.6825056,-2.6825056,neurology,0.0008445300299236969,0.0
12.712957,4.646123,4.646123,simulation theory of empathy,0.00014943881786621418,0.0
-13.122775,0.05673728,0.05673728,digital camera,0.00014943881786621418,0.0
-0.50182295,8.028898,8.028898,topological data analysis,0.00014943881786621418,0.0
5.453005,8.470029,8.470029,semmelweis reflex,0.00014943881786621418,0.0
-12.024676,1.0234066,1.0234066,tamil language,0.00014943881786621418,0.0
13.22249,-0.80921656,-0.80921656,cognitive linguistics,0.00014943881786621418,0.0
6.7992516,4.53257,4.53257,grounding in communication,0.00014943881786621418,0.0
1.8229816,0.16062471,0.16062471,affective science,0.0003143466136320298,0.0
-5.4047756,3.2692974,3.2692974,tweening,0.00014943881786621418,0.0
8.340824,3.9298875,3.9298875,affective neuroscience,0.00014943881786621418,0.0
-13.138758,4.1047196,4.1047196,optic flow,0.00032316494894954104,0.0
-1.2399955,-1.0167847,-1.0167847,spatial memory,0.00014943881786621418,0.0
-2.1063354,-0.568642,-0.568642,cognitive map,0.00014943881786621418,0.0
2.4121335,-14.540388,-14.540388,personal information management,0.00014943881786621418,0.0
-7.606175,0.5250451,0.5250451,machine vision glossary,0.00014943881786621418,0.0
-11.148686,9.904184,9.904184,behavioral optometry,0.00014943881786621418,0.0
0.35547033,-4.2946687,-4.2946687,intelligent control,0.00014943881786621418,0.0
-13.389961,2.6593735,2.6593735,recovery from blindness,0.00035151104607181817,0.0
0.101844944,-3.2306814,-3.2306814,sense of direction,0.00014943881786621418,0.0
-1.3818088,-3.2579508,-3.2579508,spatial cognition,0.00024739941077395525,0.0
-1.2353553,9.215473,9.215473,theory of colours,0.0002227203266713222,0.0
-7.1998043,16.50295,16.50295,tears,0.00014943881786621418,0.0
3.2189906,4.6259794,4.6259794,mathematical neuroscience,0.00014943881786621418,0.0
0.34097466,-1.3976694,-1.3976694,polynomial regression,0.00014943881786621418,0.0
-0.55722386,-5.7163877,-5.7163877,connectomics,0.00022676347265259046,0.0
-10.742866,9.359264,9.359264,vision therapy,0.00014351938461889873,0.0
-6.71848,-8.350002,-8.350002,smartglasses,0.00014351938461889873,0.0
-2.9653478,-2.712084,-2.712084,topographical disorientation,0.00021450517875319766,0.0
-7.0411716,-1.1593305,-1.1593305,feature learning,0.0002048352128749134,0.0
0.4075326,10.553432,10.553432,hidden faces,0.0002009725538244539,0.0
-9.657584,2.4016926,2.4016926,ridge detection,0.0044079026960628835,0.0
-8.596797,17.47722,17.47722,simple eye in invertebrates,0.00012159112484122165,0.0
0.7504758,8.780227,8.780227,color vision,0.00033589986357180116,0.0
-8.686256,-4.361796,-4.361796,finite-difference time-domain method,0.00012159112484122165,0.0
11.564192,7.5936103,7.5936103,social intuitionism,0.002296482446260092,0.0
0.33068168,-3.047712,-3.047712,spatial ability,0.00012159112484122165,0.0
-1.5388303,19.459314,19.459314,iss flare,0.0002474778648561547,0.0
-9.451959,4.5087576,4.5087576,affine shape adaptation,0.00012159112484122165,0.0
5.248407,2.8405304,2.8405304,fuzzy-trace theory,0.0002048352128749134,0.0
-6.1970935,1.9305104,1.9305104,finite element method in structural mechanics,0.00013075062431976115,0.0
8.4356165,13.323479,13.323479,rubicon model (psychology),0.00013075062431976115,0.0
8.895628,3.7564585,3.7564585,motor theory of speech perception,0.0004767382208075381,0.0
-3.91172,-8.9623575,-8.9623575,eyetap,0.00013075062431976115,0.0
-11.31439,14.003237,14.003237,eye disease,0.00014558140093733491,0.0
18.553837,-0.4350737,-0.4350737,instrumentalism,0.00014558140093733491,0.0
8.820416,5.0719795,5.0719795,neuro-linguistic programming,0.00014558140093733491,0.0
16.968565,-0.07239287,-0.07239287,cognitive ethology,0.00014558140093733491,0.0
-3.4475443,2.045505,2.045505,stroboscopic effect,0.00014558140093733491,0.0
-7.209353,0.14597727,0.14597727,visual cortex,0.00014558140093733491,0.0
-0.10319519,10.657773,10.657773,color constancy,0.00014558140093733491,0.0
7.169262,0.11546284,0.11546284,pattern recognition (psychology),0.00014558140093733491,0.0
-9.41004,-1.5061647,-1.5061647,boundary element method,0.00014558140093733491,0.0
-19.181215,4.3629065,4.3629065,eye tracking,0.00023854936328109743,0.0
0.25271332,5.5532007,5.5532007,nonparametric regression,0.0017898456910607826,0.0
1.9408191,-10.229153,-10.229153,hand-eye coordination,0.0004269415372782942,0.0
-5.1771607,1.1820267,1.1820267,kernel method,0.00023802887194125194,0.0
-9.601261,0.0909707,0.0909707,multidisciplinary design optimization,0.0005300837337190037,0.0
1.0011573,5.359663,5.359663,principles of grouping,0.0001273671660792848,0.0
-11.396069,-0.58004767,-0.58004767,computational photography,0.0001273671660792848,0.0
-0.923634,0.19350246,0.19350246,in situ adaptive tabulation,0.0001273671660792848,0.0
5.468607,-0.25942063,-0.25942063,discursive psychology,0.0001273671660792848,0.0
-4.1302433,-4.5719376,-4.5719376,machine learning,0.00022498830836772097,0.0
10.2624655,8.427401,8.427401,color blindness,0.00177374077232872,0.0
10.731548,7.476553,7.476553,color anomia,0.00014583198555366612,0.0
-9.733829,-5.115095,-5.115095,physical optics,0.00014583198555366612,0.0
-10.185027,-7.673451,-7.673451,.net framework,0.00015174998864317575,0.0
-4.5351048,1.2078073,1.2078073,kernel machines,0.00015174998864317575,0.0
14.284089,-7.041781,-7.041781,self-awareness,0.00015174998864317575,0.0
-0.58884156,-14.143945,-14.143945,seth roberts,0.00015174998864317575,0.0
7.972994,-1.2093964,-1.2093964,neuropsychiatry,0.00015174998864317575,0.0
-0.105412595,-3.596946,-3.596946,taylor series,0.00015174998864317575,0.0
0.78915024,11.396038,11.396038,semantic satiation,0.00015174998864317575,0.0
12.930912,-6.384521,-6.384521,philosophy of mind,0.00015174998864317575,0.0
9.622654,-1.9598243,-1.9598243,cognitive poetics,0.00015174998864317575,0.0
7.206703,-10.624601,-10.624601,brain,0.00015174998864317575,0.0
-15.78673,1.1580523,1.1580523,home automation,0.00015174998864317575,0.0
-1.1645483,-5.3713603,-5.3713603,euler's method,0.00015174998864317575,0.0
11.94758,4.382332,4.382332,mentalization,0.00042972312160728996,0.0
8.971248,7.2381063,7.2381063,apperceptive agnosia,0.00015174998864317575,0.0
-20.505558,4.954765,4.954765,eye tracking on the iss,0.00022957191455015308,0.0
-10.217688,0.12805654,0.12805654,human echolocation,0.00014538403764725668,0.0
-8.443409,3.6525729,3.6525729,hough transform,0.00014538403764725668,0.0
-8.120965,-0.5074912,-0.5074912,retinotopy,0.00014538403764725668,0.0
-12.16943,4.9249454,4.9249454,lucas kanade method,0.00014538403764725668,0.0
-12.821015,-2.1083832,-2.1083832,semiconductor device modeling,0.00014538403764725668,0.0
3.0645568,3.9548836,3.9548836,amodal perception,0.00014538403764725668,0.0
-14.066161,1.5867537,1.5867537,mobile phone accessories,0.00014538403764725668,0.0
-7.0135694,-5.58936,-5.58936,aforge.net,0.00014538403764725668,0.0
-15.11866,3.3597555,3.3597555,stereoblindness,0.00014600295347734916,0.0
-14.84246,-1.8327917,-1.8327917,blindness and education,0.00014600295347734916,0.0
3.7065322,1.5515391,1.5515391,comparative neuropsychology,0.00014600295347734916,0.0
-6.863417,-1.1542861,-1.1542861,tessellation (computer graphics),0.0006226882968653237,0.0
-4.954298,-11.497087,-11.497087,dymaxion chronofile,0.00014600295347734916,0.0
-1.4406195,0.2236364,0.2236364,event camera,0.0009646488269877565,0.0
-0.27516317,-14.0001335,-14.0001335,self-experimentation,0.00014600295347734916,0.0
-0.70832336,-6.340591,-6.340591,cognitive model,0.00014600295347734916,0.0
12.814729,3.5043175,3.5043175,joint attention,0.00014600295347734916,0.0
15.166984,-0.3672072,-0.3672072,the mind of an ape,0.00014600295347734916,0.0
-10.480976,0.15274823,0.15274823,foreground detection,0.00014600295347734916,0.0
-2.3775978,10.017332,10.017332,color balance,0.00014600295347734916,0.0
-7.27993,2.9230664,2.9230664,tv tuner card,0.00014600295347734916,0.0
-19.606827,3.50487,3.50487,mouse-tracking,0.00014600295347734916,0.0
-14.806272,-1.0881939,-1.0881939,indect,0.0014025087735696216,0.0
-7.1039195,3.0458577,3.0458577,video capture,0.00014600295347734916,0.0
-3.7946272,-10.068277,-10.068277,narrative clip,0.00014600295347734916,0.0
19.701069,-2.5875847,-2.5875847,folk psychology,0.00013847527659989147,0.0
-10.570006,0.13535514,0.13535514,rayleigh–ritz method,0.00013847527659989147,0.0
-13.252315,7.5635138,7.5635138,light-on-dark color scheme,0.0003336873799247703,0.0
-7.980144,13.7387,13.7387,eye color,0.00013847527659989147,0.0
-2.6603096,-7.1918397,-7.1918397,bionic contact lens,0.00013801379141481176,0.0
-2.1636775,-3.2738965,-3.2738965,navigation,0.00022125787944850348,0.0
-9.166146,-1.0062724,-1.0062724,computer audition,0.00013801379141481176,0.0
-3.6151533,8.958982,8.958982,contour rivalry,0.0019833971360813034,0.0
-0.46618137,3.653936,3.653936,information field theory,0.00014101280398690378,0.0
7.365322,9.548716,9.548716,cognitive neuropsychiatry,0.00014101280398690378,0.0
-14.32819,9.616836,9.616836,world council of optometry,0.00014101280398690378,0.0
1.9797174,-11.213547,-11.213547,educational neuroscience,0.00025695812365159987,0.0
-7.743858,-12.752983,-12.752983,computer-aided design,0.00014665677484809622,0.0
-12.019738,-3.239691,-3.239691,electromagnetic field solver,0.00014665677484809622,0.0
1.9299746,6.4652247,6.4652247,unique hues,0.00014665677484809622,0.0
-13.449019,9.479675,9.479675,american academy of optometry,0.00014665677484809622,0.0
-3.8078408,-7.5103536,-7.5103536,egocentric vision,0.00014665677484809622,0.0
-12.171481,-0.6390928,-0.6390928,camera trap,0.00014665677484809622,0.0
-12.522569,-2.5668123,-2.5668123,transistor models,0.00014665677484809622,0.0
-6.6562843,2.1284885,2.1284885,frame grabber,0.00014665677484809622,0.0
3.0094383,1.783962,1.783962,psychology,0.00014665677484809622,0.0
-11.620812,1.0006887,1.0006887,machine vision,0.00014665677484809622,0.0
19.456833,2.6615999,2.6615999,models of scientific inquiry,0.00014665677484809622,0.0
-0.32897627,7.354342,7.354342,multistable perception,0.00014665677484809622,0.0
-11.091457,9.904053,9.904053,visual snow,0.00014665677484809622,0.0
-9.142206,-0.8349094,-0.8349094,sensory substitution,0.00014665677484809622,0.0
-4.1286225,19.076172,19.076172,fringe visibility,0.00014665677484809622,0.0
-9.140931,-3.4570045,-3.4570045,finite-difference frequency-domain,0.00014665677484809622,0.0
7.1794834,-1.670357,-1.670357,vertiginous question,0.00014665677484809622,0.0
13.413238,-0.6100376,-0.6100376,cognitive grammar,0.00014665677484809622,0.0
-3.3623767,5.90464,5.90464,barberpole illusion,0.00014665677484809622,0.0
-5.2128053,18.865545,18.865545,spatial frequency,0.00014665677484809622,0.0
1.7301787,-1.8243644,-1.8243644,multisensory integration,0.0003236917407776532,0.0
-8.069406,13.9841795,13.9841795,tapetum lucidum,0.0003396992203105644,0.0
10.211597,-3.0348458,-3.0348458,qualia,0.00014665677484809622,0.0
-2.3603442,1.4612169,1.4612169,wagon-wheel effect,0.00014665677484809622,0.0
-1.9223576,-6.3164277,-6.3164277,augmented reality,0.00014665677484809622,0.0
1.7467328,7.133407,7.133407,primary colors,0.00014665677484809622,0.0
-3.188398,1.0190396,1.0190396,probabilistic design,0.00014665677484809622,0.0
-3.9432259,-10.40838,-10.40838,gordon bell,0.0007678780014773416,0.0
1.4435041,7.482111,7.482111,graz school,0.00022821225942462576,0.0
-10.023354,15.463048,15.463048,eye injury,0.00014665677484809622,0.0
1.1404327,5.6377463,5.6377463,structural information theory,0.00014665677484809622,0.0
-7.0455136,3.0314293,3.0314293,color agnosia,0.00014665677484809622,0.0
