source	target	depth
quantum mind	mechanism (philosophy)	4
quantum mind	neuroplasticity	4
quantum mind	quantum cognition	4
quantum mind	quantum neural network	4
relational frame theory	cognitive grammar	4
relational frame theory	cognitive linguistics	4
relational frame theory	construction grammar	4
relational frame theory	constructivism (psychological school)	4
relational frame theory	embodied cognitive science	4
relational frame theory	enactivism	4
relational frame theory	image schema	4
relational frame theory	operant conditioning	4
relational frame theory	personal construct theory	4
relational frame theory	schema (psychology)	4
relational frame theory	situated cognition	4
perspective-taking	role reversal	4
perspective-taking	role-taking theory	4
perspective-taking	theory of mind	4
origin of language	abiogenesis	4
origin of language	biolinguistics	4
origin of language	bouba/kiki effect	4
origin of language	bow-wow theory	4
origin of language	digital infinity	4
origin of language	essay on the origin of languages	4
origin of language	evolutionary psychology of language	4
origin of language	foxp2 and human evolution	4
origin of language	generative anthropology	4
origin of language	historical linguistics	4
origin of language	neurobiological origins of language	4
origin of language	origins of society	4
origin of language	origin of speech	4
origin of language	proto-language	4
origin of language	theory of language	4
mental body	esoteric	4
mental body	esoteric cosmology	4
mental body	etheric body	4
mental body	spiritual evolution	4
mental body	subtle body	4
mental body	thoughtform	4
mental body	science	4
mental body	consciousness	4
mental body	mind	4
mental body	mind–body problem	4
mental body	philosophy of mind	4
mental body	theory of mind	4
intentional stance	four causes	4
intentional stance	telos	4
intentional stance	teleology	4
intentional stance	conceptual blending	4
intentional stance	folk psychology	4
intentional stance	high- and low-level	4
intentional stance	instrumentalism	4
intentional stance	integrative level	4
intentional stance	intention	4
intentional stance	intentionality	4
intentional stance	level of analysis	4
intentional stance	life stance	4
intentional stance	david marr (psychologist)	4
intentional stance	naturalization of intentionality	4
intentional stance	operationalism	4
intentional stance	philosophical realism	4
intentional stance	philosophy of mind	4
intentional stance	stance (linguistics)	4
intentional stance	theory of mind	4
intentional stance	the philosophy of 'as if'	4
mentalization	adaptive mentalization-based integrative treatment	4
mentalization	mentalization based treatment	4
mentalization	metacognition	4
mentalization	psychic equivalence	4
mentalization	social cognition	4
joint attention	asperger syndrome	4
joint attention	cooperative eye hypothesis	4
joint attention	grounding in communication	4
joint attention	vocabulary development	4
grounding in communication	cognition	4
grounding in communication	communication	4
grounding in communication	common knowledge (logic)	4
grounding in communication	media richness theory	4
grounding in communication	situation awareness	4
empathy	against empathy	4
empathy	artificial empathy	4
empathy	attribution (psychology)	4
empathy	digital empathy	4
empathy	philip k. dick	4
empathy	do androids dream of electric sheep?	4
empathy	ecological empathy	4
empathy	emotional intelligence	4
empathy	emotional literacy	4
empathy	empathic concern	4
empathy	empathizing–systemizing theory	4
empathy	empathy in chickens	4
empathy	empathy in literature	4
empathy	empathy in online communities	4
empathy	ethnocultural empathy	4
empathy	grounding in communication	4
empathy	highly sensitive person	4
empathy	humanistic coefficient	4
empathy	identification (psychology)	4
empathy	life skills	4
empathy	mimpathy	4
empathy	mirror-touch synesthesia	4
empathy	moral emotions	4
empathy	oxytocin	4
empathy	people skills	4
empathy	rapport	4
empathy	schema (psychology)	4
empathy	self-conscious emotions	4
empathy	sensibility	4
empathy	simulation theory of empathy	4
empathy	social emotions	4
empathy	soft skills	4
empathy	theory of mind in animals	4
empathy	vicarious embarrassment	4
eliminative materialism	attention schema theory	4
eliminative materialism	blindsight	4
eliminative materialism	constructivist epistemology	4
eliminative materialism	cotard delusion	4
eliminative materialism	deconstructivism	4
eliminative materialism	epiphenomenalism	4
eliminative materialism	functionalism (philosophy of mind)	4
eliminative materialism	mind–body problem	4
eliminative materialism	monism	4
eliminative materialism	new mysterianism	4
eliminative materialism	nihilism	4
eliminative materialism	phenomenology (philosophy)	4
eliminative materialism	physicalism	4
eliminative materialism	principle of locality	4
eliminative materialism	property dualism	4
eliminative materialism	reductionism	4
eliminative materialism	scientism	4
eliminative materialism	substance dualism	4
eliminative materialism	vertiginous question	4
cetacean intelligence	animal cognition	4
cetacean intelligence	animal consciousness	4
cetacean intelligence	morgan's canon	4
cetacean intelligence	john c. lilly	4
cetacean intelligence	louis herman	4
cetacean intelligence	animal language	4
cetacean intelligence	vocal learning	4
cetacean intelligence	spindle neuron	4
cetacean intelligence	military dolphin	4
cetacean intelligence	u.s. navy marine mammal program	4
cetacean intelligence	so long, and thanks for all the fish	4
cetacean intelligence	uplift universe	4
cetacean intelligence	pig intelligence	4
cephalopod intelligence	animal cognition	4
cephalopod intelligence	animal consciousness	4
cephalopod intelligence	octopolis and octlantis	4
method of loci	spatial memory	4
cognitive map	cognitive geography	4
cognitive map	fuzzy cognitive map	4
cognitive map	motion perception	4
cognitive map	repertory grid	4
cognitive map	mind map	4
spatial ability	aphantasia	4
spatial ability	mechanical aptitude	4
spatial ability	motor imagery	4
spatial ability	raven's progressive matrices	4
spatial ability	spatial cognition	4
spatial ability	spatial contextual awareness	4
spatial ability	spatial memory	4
animal cognition	anthropomorphism	4
animal cognition	biosemiotics	4
animal cognition	cognitive psychology	4
animal cognition	deception in animals	4
animal cognition	embodied cognition	4
animal cognition	evolution of cognition	4
animal cognition	human–animal communication	4
animal cognition	number sense in animals	4
animal cognition	tool use by animals	4
animal cognition	uplift (science fiction)	4
animal cognition	zoopharmacognosy	4
animal cognition	zoosemiotics	4
animal cognition	bird intelligence	4
animal cognition	cetacean intelligence	4
animal cognition	dog intelligence	4
animal cognition	fish intelligence	4
animal cognition	insect cognition	4
animal cognition	plant cognition	4
spatial contextual awareness	augmented reality	4
spatial contextual awareness	context awareness	4
spatial contextual awareness	context-aware pervasive systems	4
spatial contextual awareness	fiduciary marker	4
spatial contextual awareness	human-computer interaction	4
spatial contextual awareness	location awareness	4
spatial contextual awareness	location-based service	4
spatial contextual awareness	sense of direction	4
spatial contextual awareness	situational awareness	4
spatial contextual awareness	spatial ability	4
spatial contextual awareness	spatial cognition	4
spatial contextual awareness	topology	4
spatial contextual awareness	ubiquitous computing	4
sequential minimal optimization	kernel perceptron	4
relevance vector machine	kernel trick	4
relevance vector machine	platt scaling	4
predictive analytics	actuarial science	4
predictive analytics	artificial intelligence in healthcare	4
predictive analytics	analytical procedures (finance auditing)	4
predictive analytics	big data	4
predictive analytics	computational sociology	4
predictive analytics	criminal reduction utilising statistical history	4
predictive analytics	decision management	4
predictive analytics	disease surveillance	4
predictive analytics	learning analytics	4
predictive analytics	odds algorithm	4
predictive analytics	pattern recognition	4
predictive analytics	predictive inference	4
predictive analytics	predictive policing	4
predictive analytics	social media analytics	4
platt scaling	relevance vector machine	4
kernel machines	kernel methods for vector output	4
kernel machines	kernel density estimation	4
kernel machines	representer theorem	4
kernel machines	similarity learning	4
kernel machines	cover's theorem	4
fisher kernel	fisher information metric	4
in situ adaptive tabulation	predictive analytics	4
in situ adaptive tabulation	radial basis function network	4
in situ adaptive tabulation	recurrent neural networks	4
in situ adaptive tabulation	support vector machine	4
in situ adaptive tabulation	tensor product network	4
response surface methodology	box–behnken design	3
response surface methodology	central composite design	3
response surface methodology	gradient-enhanced kriging	3
response surface methodology	ioso	3
response surface methodology	optimal design	3
response surface methodology	plackett–burman design	3
response surface methodology	polynomial and rational function modeling	3
response surface methodology	polynomial regression	3
response surface methodology	probabilistic design	3
response surface methodology	surrogate model	3
response surface methodology	bayesian optimization	3
performance tuning	performance application programming interface	3
multiphysics	finite difference time-domain method	3
mirror neuron	associative sequence learning	3
mirror neuron	common coding theory	3
mirror neuron	emotional contagion	3
mirror neuron	empathy	3
mirror neuron	mirror-touch synesthesia	3
mirror neuron	mirroring (psychology)	3
mirror neuron	motor cognition	3
mirror neuron	motor theory of speech perception	3
mirror neuron	on intelligence	3
mirror neuron	positron emission tomography	3
mirror neuron	simulation theory of empathy	3
mirror neuron	speech repetition	3
mirror neuron	spindle neuron	3
model-dependent realism	all models are wrong	3
model-dependent realism	commensurability (philosophy of science)	3
model-dependent realism	conceptualist realism	3
model-dependent realism	constructivist epistemology	3
model-dependent realism	fallibilism	3
model-dependent realism	internal realism	3
model-dependent realism	instrumentalism	3
model-dependent realism	models of scientific inquiry	3
model-dependent realism	ontological pluralism	3
model-dependent realism	philosophical realism	3
model-dependent realism	pragmatism	3
model-dependent realism	scientific perspectivism	3
model-dependent realism	scientific realism	3
model-dependent realism	space mapping	3
finite difference time-domain method	computational electromagnetics	4
finite difference time-domain method	eigenmode expansion	4
finite difference time-domain method	beam propagation method	4
finite difference time-domain method	finite-difference frequency-domain	4
finite difference time-domain method	finite element method	4
finite difference time-domain method	scattering-matrix method	4
finite difference time-domain method	discrete dipole approximation	4
bayesian optimization	multi-armed bandit	4
bayesian optimization	kriging	4
bayesian optimization	thompson sampling	4
bayesian optimization	global optimization	4
bayesian optimization	bayesian experimental design	4
bayesian optimization	probabilistic numerics	4
bayesian optimization	pareto optimum	4
bayesian optimization	active learning (machine learning)	4
bayesian optimization	multi-objective optimization	4
performance application programming interface	profiling (computer programming)	4
scientific realism	anti-realism	4
scientific realism	constructivist epistemology	4
scientific realism	critical realism (philosophy of perception)	4
scientific realism	dialectical materialism	4
scientific realism	instrumentalism	4
scientific realism	musgrave's scientific realism	4
scientific realism	naïve realism	4
scientific realism	pessimistic induction	4
scientific realism	scientific materialism	4
scientific realism	scientific perspectivism	4
scientific realism	social constructionism	4
philosophical realism	anti-realism	4
philosophical realism	critical realism (philosophy of perception)	4
philosophical realism	dialectical realism	4
philosophical realism	epistemological realism	4
philosophical realism	extended modal realism	4
philosophical realism	legal realism	4
philosophical realism	modal realism	4
philosophical realism	objectivism	4
philosophical realism	philosophy of social science	4
philosophical realism	principle of bivalence	4
philosophical realism	problem of future contingents	4
philosophical realism	truth-value link realism	4
philosophical realism	speculative realism	4
philosophical realism	direct and indirect realism	4
scientific perspectivism	anekantavada	4
scientific perspectivism	mahavira	4
scientific perspectivism	blind men and an elephant	4
scientific perspectivism	conceptual framework	4
scientific perspectivism	consilience	4
scientific perspectivism	constructivist epistemology	4
scientific perspectivism	eclecticism	4
scientific perspectivism	fallibilism	4
scientific perspectivism	fusion of horizons	4
scientific perspectivism	intersubjectivity	4
scientific perspectivism	metaphilosophy	4
scientific perspectivism	model-dependent realism	4
scientific perspectivism	moral nihilism	4
scientific perspectivism	moral skepticism	4
scientific perspectivism	multiperspectivalism	4
scientific perspectivism	calvinist	4
scientific perspectivism	philosophy of friedrich nietzsche	4
scientific perspectivism	point of view (philosophy)	4
scientific perspectivism	rhizome (philosophy)	4
scientific perspectivism	standpoint theory	4
scientific perspectivism	value pluralism	4
ontological pluralism	anekantavada	4
ontological pluralism	legal pluralism	4
ontological pluralism	nelson goodman	4
ontological pluralism	panarchy (political philosophy)	4
ontological pluralism	pantheism	4
ontological pluralism	pluralism (political philosophy)	4
ontological pluralism	pluralism (political theory)	4
ontological pluralism	postmodernism	4
ontological pluralism	quantifier variance	4
ontological pluralism	religious pluralism	4
ontological pluralism	value pluralism	4
instrumentalism	instrumental and value rationality	4
instrumentalism	instrumental and intrinsic value	4
instrumentalism	natural kind	4
instrumentalism	fact–value distinction	4
instrumentalism	inductive reasoning	4
models of scientific inquiry	deductive-nomological	4
models of scientific inquiry	explanandum and explanans	4
models of scientific inquiry	hypothetico-deductive method	4
models of scientific inquiry	inquiry	4
internal realism	american philosophy	4
constructivist epistemology	autopoiesis	4
constructivist epistemology	consensus reality	4
constructivist epistemology	constructivism in international relations	4
constructivist epistemology	cultural pluralism	4
constructivist epistemology	epistemological pluralism	4
constructivist epistemology	tinkerbell effect	4
constructivist epistemology	map–territory relation	4
constructivist epistemology	meaning making	4
constructivist epistemology	metacognition	4
constructivist epistemology	ontological pluralism	4
constructivist epistemology	personal construct psychology	4
constructivist epistemology	perspectivism	4
constructivist epistemology	pragmatism	4
fallibilism	defeasible reasoning	4
fallibilism	logical holism	4
fallibilism	nihilism	4
fallibilism	multiverse (set theory)	4
fallibilism	pancritical rationalism	4
fallibilism	perspectivism	4
fallibilism	probabilism	4
fallibilism	projectivism	4
conceptualist realism	anti-realism	4
conceptualist realism	critical realism (philosophy of perception)	4
conceptualist realism	dialectical realism	4
conceptualist realism	epistemological realism	4
conceptualist realism	extended modal realism	4
conceptualist realism	legal realism	4
conceptualist realism	modal realism	4
conceptualist realism	objectivism	4
conceptualist realism	philosophy of social science	4
conceptualist realism	principle of bivalence	4
conceptualist realism	problem of future contingents	4
conceptualist realism	truth-value link realism	4
conceptualist realism	speculative realism	4
conceptualist realism	direct and indirect realism	4
simulation theory of empathy	mentalization	4
simulation theory of empathy	moral emotions	4
simulation theory of empathy	perspective-taking	4
simulation theory of empathy	social emotions	4
simulation theory of empathy	theory of mind	4
speech repetition	alan baddeley	4
speech repetition	auditory processing disorder	4
speech repetition	baddeley's model of working memory	4
speech repetition	conduction aphasia	4
speech repetition	developmental verbal dyspraxia	4
speech repetition	echoic memory	4
speech repetition	echolalia	4
speech repetition	language development	4
speech repetition	language acquisition	4
speech repetition	language-based learning disability	4
speech repetition	mirror neurons	4
speech repetition	mirroring (psychology)	4
speech repetition	motor cognition	4
speech repetition	motor theory of speech perception	4
speech repetition	origin of language	4
speech repetition	passive speakers (language)	4
speech repetition	phonological development	4
speech repetition	pronunciation	4
speech repetition	second-language acquisition	4
speech repetition	short-term memory	4
speech repetition	speech perception	4
speech repetition	thematic coherence	4
speech repetition	transcortical motor aphasia	4
speech repetition	transcortical sensory aphasia	4
speech repetition	vocabulary	4
speech repetition	vocal learning	4
on intelligence	hierarchical temporal memory	4
on intelligence	memory-prediction framework	4
motor theory of speech perception	cohort model	4
motor theory of speech perception	speech recognition	4
motor theory of speech perception	auditory phonetics	4
motor theory of speech perception	trace (psycholinguistics)	4
motor theory of speech perception	haskins laboratories	4
motor cognition	cognitive science	4
motor cognition	embodied cognition	4
motor cognition	embodied embedded cognition	4
motor cognition	motor imagery	4
motor cognition	pragmatism	4
motor cognition	procedural memory	4
positron emission tomography	diffuse optical imaging	4
positron emission tomography	hot cell	4
positron emission tomography	molecular imaging	4
mirroring (psychology)	amygdala hijack	4
mirroring (psychology)	kinesthetic learning	4
mirroring (psychology)	nonverbal communication	4
emotional contagion	affective neuroscience	4
emotional contagion	autism	4
emotional contagion	behavioral contagion	4
emotional contagion	common coding theory	4
emotional contagion	emotional detachment	4
emotional contagion	emotional competence	4
emotional contagion	folie à deux	4
emotional contagion	groupthink	4
emotional contagion	limbic resonance	4
emotional contagion	limbic regulation	4
emotional contagion	mass psychogenic illness	4
emotional contagion	microexpression	4
emotional contagion	mirror-touch synesthesia	4
emotional contagion	peer contagion	4
emotional contagion	peer pressure	4
emotional contagion	projective identification	4
emotional contagion	social contagion	4
emotional contagion	social neuroscience	4
emotional contagion	viral phenomenon	4
common coding theory	affective neuroscience	4
common coding theory	embodied cognition	4
common coding theory	empathy	4
common coding theory	lawrence w. barsalou	4
common coding theory	mental practice of action	4
common coding theory	motor cognition	4
common coding theory	motor imagery	4
common coding theory	neuroscience	4
common coding theory	pragmatism	4
common coding theory	predictive coding	4
common coding theory	roger sperry	4
common coding theory	social cognition	4
common coding theory	vittorio guidano	4
common coding theory	william james	4
surrogate model	linear approximation	4
surrogate model	response surface methodology	4
surrogate model	kriging	4
surrogate model	radial basis function	4
surrogate model	gradient-enhanced kriging	4
surrogate model	optiy	4
surrogate model	space mapping	4
surrogate model	surrogate endpoint	4
surrogate model	surrogate data	4
surrogate model	fitness approximation	4
surrogate model	computer experiment	4
surrogate model	conceptual model	4
surrogate model	bayesian regression	4
surrogate model	bayesian model selection	4
associative sequence learning	mirror neuron	4
probabilistic design	interval finite element	4
probabilistic design	stochastic modelling (insurance)	4
probabilistic design	first-order second-moment method	4
probabilistic design	weibull distribution	4
polynomial regression	curve fitting	4
polynomial regression	line regression	4
polynomial regression	local polynomial regression	4
polynomial regression	polynomial and rational function modeling	4
polynomial regression	polynomial interpolation	4
polynomial regression	response surface methodology	4
polynomial regression	smoothing spline	4
polynomial and rational function modeling	response surface methodology	4
polynomial and rational function modeling	padé approximant	4
optimal design	bayesian experimental design	4
optimal design	blocking (statistics)	4
optimal design	computer experiment	4
optimal design	convex function	4
optimal design	convex optimization	4
optimal design	design of experiments	4
optimal design	efficiency (statistics)	4
optimal design	entropy (information theory)	4
optimal design	fisher information	4
optimal design	glossary of experimental design	4
optimal design	hadamard's maximal determinant problem	4
optimal design	information theory	4
optimal design	jack kiefer (mathematician)	4
optimal design	replication (statistics)	4
optimal design	response surface methodology	4
optimal design	statistical model	4
optimal design	abraham wald	4
optimal design	jacob wolfowitz	4
mental rotation	mental event	3
mental rotation	space mapping	3
mental model	all models are wrong	3
mental model	cognitive map	3
mental model	cognitive psychology	3
mental model	conceptual model	3
mental model	educational psychology	3
mental model	folk psychology	3
mental model	internal model (motor control)	3
mental model	knowledge representation	3
mental model	lovemap	3
mental model	macrocognition	3
mental model	map–territory relation	3
mental model	model-dependent realism	3
mental model	neuro-linguistic programming	3
mental model	neuroeconomics	3
mental model	neuroplasticity	3
mental model	ooda loop	3
mental model	psyche (psychology)	3
mental model	self-stereotyping	3
mental model	social intuitionism	3
mental model	space mapping	3
mental model	system dynamics	3
mental model	text and conversation theory	3
machine learning	deep learning	3
machine learning	artificial neural network	3
machine learning	m-theory (learning framework)	3
linear approximation	binomial approximation	3
linear approximation	euler's method	3
linear approximation	finite differences	3
linear approximation	finite difference methods	3
linear approximation	newton's method	3
linear approximation	power series	3
linear approximation	taylor series	3
kriging	bayes linear statistics	3
kriging	gaussian process	3
kriging	multivariate interpolation	3
kriging	nonparametric regression	3
kriging	radial basis function interpolation	3
kriging	space mapping	3
kriging	spatial dependence	3
kriging	variogram	3
kriging	gradient-enhanced kriging	3
kriging	surrogate model	3
kriging	information field theory	3
artificial neural network	adaline	4
artificial neural network	autoencoder	4
artificial neural network	bio-inspired computing	4
artificial neural network	blue brain project	4
artificial neural network	catastrophic interference	4
artificial neural network	cognitive architecture	4
artificial neural network	connectionist expert system	4
artificial neural network	connectomics	4
artificial neural network	deep image prior	4
artificial neural network	digital morphogenesis	4
artificial neural network	efficiently updatable neural network	4
artificial neural network	evolutionary algorithm	4
artificial neural network	genetic algorithm	4
artificial neural network	hyperdimensional computing	4
artificial neural network	in situ adaptive tabulation	4
artificial neural network	large width limits of neural networks	4
artificial neural network	memristor	4
artificial neural network	neural gas	4
artificial neural network	neural network software	4
artificial neural network	optical neural network	4
artificial neural network	parallel distributed processing	4
artificial neural network	philosophy of artificial intelligence	4
artificial neural network	predictive analytics	4
artificial neural network	quantum neural network	4
artificial neural network	support vector machine	4
artificial neural network	spiking neural network	4
artificial neural network	stochastic parrot	4
artificial neural network	tensor product network	4
information field theory	bayesian inference	4
information field theory	bayesian hierarchical modeling	4
information field theory	gaussian process	4
information field theory	statistical inference	4
spatial dependence	buffer analysis	4
spatial dependence	cartography	4
spatial dependence	complete spatial randomness	4
spatial dependence	concepts and techniques in modern geography	4
spatial dependence	cost distance analysis	4
spatial dependence	four traditions of geography	4
spatial dependence	geocomputation	4
spatial dependence	geospatial intelligence	4
spatial dependence	geospatial predictive modeling	4
